hpix,l,b,"ASAS[13,16]","PS1[13,16]","Gaia[13,16]","ASAS[16,18]","PS1[16,18]","Gaia[16,18]","ASAS[18,22]","PS1[18,22]","Gaia[18,22]","ASAS_full","PS1_full","Gaia_full"
2775,116.25,-54.340912303861245,,,,0.0,1.0,1.0,0.0,0.0,,,0.5,1.0
2776,123.75000000000001,-54.340912303861245,,,,0.33333333333333337,0.6666666666666667,1.0,0.0,0.5,1.0,0.5,0.5,0.75
2777,131.25,-54.340912303861245,,,0.0,0.33333333333333337,1.0,1.0,0.0,1.0,0.6666666666666667,1.0,1.0,0.7142857142857143
2778,138.75,-54.340912303861245,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666667,1.0,1.0,0.8333333333333333
2779,146.25,-54.340912303861245,1.0,0.6666666666666667,0.6,0.2,0.6,1.0,0.0,1.0,0.5,1.0,0.7777777777777777,0.8181818181818181
2780,153.74999999999997,-54.340912303861245,,,0.0,0.28571428571428575,0.8571428571428571,0.6,0.0,0.0,0.0,1.0,1.0,0.6428571428571429
2781,161.25,-54.340912303861245,1.0,0.5,0.6666666666666667,0.6,1.0,0.8333333333333333,,,0.0,1.0,0.8571428571428571,0.5833333333333334
2782,168.75,-54.340912303861245,1.0,1.0,1.0,0.0,1.0,0.42857142857142855,0.0,0.6666666666666667,1.0,1.0,1.0,0.8333333333333333
2783,176.25,-54.340912303861245,,,,0.6,1.0,0.625,0.0,0.0,,1.0,0.7777777777777777,0.875
2784,183.75,-54.340912303861245,1.0,0.0,1.0,0.6666666666666667,0.8333333333333333,1.0,0.0,1.0,1.0,1.0,0.75,1.0
2785,191.25,-54.340912303861245,0.0,1.0,0.5,0.5,0.75,1.0,,,,0.75,0.6666666666666667,0.8333333333333333
2786,198.75,-54.340912303861245,1.0,1.0,1.0,0.0,1.0,0.33333333333333337,0.0,0.0,,1.0,0.6,0.6666666666666667
2787,206.25000000000003,-54.340912303861245,,,,0.0,1.0,1.0,0.0,0.0,,,0.33333333333333337,1.0
2788,213.75,-54.340912303861245,1.0,1.0,1.0,,,,0.0,0.5,1.0,1.0,0.5,1.0
2789,221.25,-54.340912303861245,0.6666666666666667,0.6666666666666667,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.8,0.7142857142857143,1.0
2790,228.75,-54.340912303861245,1.0,0.0,1.0,1.0,0.25,1.0,,,0.0,1.0,0.16666666666666669,0.9166666666666667
2791,236.25,-54.340912303861245,1.0,0.0,1.0,0.6666666666666667,0.0,1.0,0.0,0.0,,1.0,0.0,0.8571428571428571
2792,243.75,-54.340912303861245,1.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,1.0
2793,251.25,-54.340912303861245,1.0,0.0,1.0,0.5714285714285715,0.0,1.0,0.0,0.0,,0.8571428571428571,0.0,1.0
2794,258.75,-54.340912303861245,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,,1.0,0.0,1.0
2795,266.25000000000006,-54.340912303861245,1.0,0.0,1.0,0.6,0.0,1.0,0.0,0.0,,0.8,0.0,1.0
2796,273.74999999999994,-54.340912303861245,0.5,0.0,1.0,0.375,0.0,1.0,,,,0.6666666666666667,0.0,1.0
2797,281.25,-54.340912303861245,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,,0.875,0.0,1.0
2798,288.75,-54.340912303861245,,,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,,0.6666666666666667,0.0,1.0
2799,296.25,-54.340912303861245,0.75,0.0,1.0,0.3,0.0,1.0,0.0,0.0,,0.6666666666666667,0.0,1.0
2800,303.75,-54.340912303861245,1.0,0.0,0.8181818181818181,0.28571428571428575,0.0,1.0,0.0,0.0,,1.0,0.0,1.0
2801,311.25,-54.340912303861245,0.75,0.0,1.0,0.26666666666666666,0.0,0.6666666666666667,0.0,0.0,,0.6,0.0,1.0
